Estado,Nome da campanha,ID da campanha,campaignExternalId,País da campanha,Código do status,Status,Tipo,Segmentação,Varejista,Nome do portfólio,Estratégia de lances da campanha,Data de início da campanha,Data de término da campanha,Ajuste de lance para o topo da pesquisa,Valor do orçamento da campanha (convertido),Valor do orçamento da campanha,Tipo de custo,Impressões,CPM (convertido),CPM,Cliques,CTR visível (vCTR),CTR,CPC (convertido),CPC,CPM visível (vCPM) (convertido),CPM visível (vCPM),Distribuição visível,Impressões visíveis,Custo total (convertido),Custo total,Alcance do usuário,Alcance por domicílio,Primeiro quartil (anúncio de vídeo),Metade (anúncio de vídeo),Terceiro quartil (anúncios de vídeo),Visualizações concluídas (anúncios de vídeo),Ativações do som (anúncios de vídeo),Visualizações da página de detalhes,Visualizações da página de detalhes (clientes novos para a marca),Adicionar ao carrinho,Adições ao carrinho (cliente novo para a marca),Pesquisas de marcas,Pesquisas de marca (clientes novos para a marca),Visualizações da página da Brand Store,Visualizações da página da Brand Store (clientes novos para a marca),Compras,Vendas (convertido),Vendas,ACOS,ROAS,Compras (clientes novos para a marca),Vendas (clientes novos para a marca) (convertido),Vendas (clientes novos para a marca),Percentual de compras de clientes novos para a marca,Percentual de vendas novas para a marca,Vendas a longo prazo (convertido),Vendas a longo prazo,ROAS de longo prazo,Marca,Parcela de impressões no topo da pesquisa
ATIVADO,Campanha de Produto Indicado- P3070-o228/07,A0508425L9D53424IX5Q,204200209630375,Brasil,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),19/06/2026,,0,"R$ 20,00","R$ 20,00",CPC,0,,,39,0,"0,0014","R$ 1,45","R$ 1,45",,,0,0,"R$ 56,55","R$ 56,55",,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,10.896198054818742,0,,,0,0,,,0,,<5%
PAUSADO,Campanha de Produto Indicado- P3050-o425/08,A01964341CLZY17GLMOAY,3262494915796,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),19/06/2026,,0,"R$ 20,00","R$ 20,00",CPC,0,,,0,0,0,,,,,0,0,"R$ 0,00","R$ 0,00",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,0
PAUSADO,Campanha de Palavra-Chave- SP-FF-o116/07,A08110097KQLMNM1SPJT,209291686944258,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de palavra chave,Lances dinâmicos (aumento e redução),18/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,0,0,0,,,,,0,0,"R$ 0,00","R$ 0,00",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,0
PAUSADO,Campanha de Produto Indicado- L1618-A-o103/07,A0718594VF5BD0TINOGV,220339920491993,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),15/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,0,0,0,,,,,0,0,"R$ 0,00","R$ 0,00",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,0
PAUSADO,Campanha de Categoria- P4080-o108/07,A07152263IZYC8T10K0KZ,94513382818422,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de categoria,Lances dinâmicos (aumento e redução),19/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,0,0,0,,,,,0,0,"R$ 0,00","R$ 0,00",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,0
ATIVADO,campanha automática inidividual- PXP-o311/08,A07573543N6UHZFHOLXQK,60867425277707,Brasil,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,AUTOMATIC,Amazon,campanha automatica individual,Lances dinâmicos (aumento e redução),15/06/2026,,0,"R$ 40,00","R$ 40,00",CPC,0,,,2,0,"0,0049","R$ 0,78","R$ 0,78",,,0,0,"R$ 1,56","R$ 1,56",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,<5%
PAUSADO,campanha automática individual- P3070-o116/07,A04448182C3IVMJK1IBIU,145964185460140,Brasil,CAMPAIGN_PAUSED,Pausado,SP,AUTOMATIC,Amazon,campanha automatica individual,Lances dinâmicos (aumento e redução),19/06/2026,,0,"R$ 5,00","R$ 5,00",CPC,0,,,0,0,0,,,,,0,0,"R$ 0,00","R$ 0,00",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,0
PAUSADO,campanha automática individual- L1618-T-o130/06,A019657822FGS3DIXW2WW,159037116752007,Brasil,CAMPAIGN_PAUSED,Pausado,SP,AUTOMATIC,Amazon,campanha automatica individual,Lances dinâmicos (somente redução),15/06/2026,,0,"R$ 5,00","R$ 5,00",CPC,0,,,0,0,0,,,,,0,0,"R$ 0,00","R$ 0,00",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,0
PAUSADO,Campanha de Produto Indicado- L2440-AML-o103/07,A07992333CV4LKBD3R4QG,70230654464817,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),15/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,0,0,0,,,,,0,0,"R$ 0,00","R$ 0,00",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,0
PAUSADO,Campanha de Palavra-Chave- L2470-CZ-o116/07,A0586552Y7ITJZWYGQ6M,129369277028930,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de palavra chave,Lances dinâmicos (aumento e redução),15/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,0,0,0,,,,,0,0,"R$ 0,00","R$ 0,00",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,0
PAUSADO,Campanha de Categoria- SP-PP-o108/07,A0478878P585R8E374KF,32736640937439,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de categoria,Lances dinâmicos (aumento e redução),18/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,0,0,0,,,,,0,0,"R$ 0,00","R$ 0,00",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,0
PAUSADO,campanha automática individual- SP-FF-o116/07,A0837952105H64UFPQO4U,108685489444736,Brasil,CAMPAIGN_PAUSED,Pausado,SP,AUTOMATIC,Amazon,campanha automatica individual,Lances dinâmicos (aumento e redução),18/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,0,0,0,,,,,0,0,"R$ 0,00","R$ 0,00",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,0
PAUSADO,Campanha automática inidividual- L1618-o115/07,A04406752SJAUMCWZ6IGP,157934729939405,Brasil,CAMPAIGN_PAUSED,Pausado,SP,AUTOMATIC,Amazon,campanha automatica individual,Lances dinâmicos (aumento e redução),15/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,0,0,0,,,,,0,0,"R$ 0,00","R$ 0,00",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,0
PAUSADO,campanha automatica individual- P3060-o115/07,A0112228YNTZM8SYA7GE,161686400608981,Brasil,CAMPAIGN_PAUSED,Pausado,SP,AUTOMATIC,Amazon,campanha automatica individual,Lances dinâmicos (aumento e redução),12/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,0,0,0,,,,,0,0,"R$ 0,00","R$ 0,00",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,0
PAUSADO,campanha automática individual- SP-01-o116/07,A1001558NI41K3MGL72U,28062808738738,Brasil,CAMPAIGN_PAUSED,Pausado,SP,AUTOMATIC,Amazon,campanha automatica individual,Lances dinâmicos (aumento e redução),19/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,0,0,0,,,,,0,0,"R$ 0,00","R$ 0,00",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,0
